variant,model_type,top_k,interaction_mode,n_folds,n_features_mean,test_logloss_mean,test_logloss_std,test_brier_mean,test_brier_std,test_auc_mean,test_auc_std,test_accuracy_tuned_mean,test_accuracy_tuned_std,test_accuracy_0_5_mean,test_accuracy_0_5_std,threshold_mean
PooledPatchAware_TopK,pooled_patch_interaction_logistic,10,patch_x_condition_plus_condition_pairwise,4,217.0,0.6949682636992818,0.06794028012620561,0.24188579462508802,0.01743234637887385,0.6199879708603965,0.0612506616410186,0.5952380952380952,0.07009334020895115,0.5952380952380952,0.0847387162859628,0.49749999999999994
PooledPatchAware_TopK,pooled_patch_interaction_logistic,7,patch_x_condition_plus_condition_pairwise,4,146.5,0.6969996495583687,0.053283508435172426,0.24891999127690045,0.025423711118618457,0.5700986954467122,0.1086000744378331,0.5654761904761905,0.052794185300198714,0.5476190476190477,0.0700933402089512,0.5
SeparatePatch_TopK,separate_patch_logistic,12,pairwise_condition_interactions,4,,0.6984237471038325,0.07502211375141538,0.24466368112713918,0.02225745511787453,0.5983448135049966,0.06156403415314063,0.6130952380952381,0.06261799142087102,0.6130952380952381,0.03571428571428576,0.48
PooledPatchAware_TopK,pooled_patch_interaction_logistic,5,patch_x_condition_plus_condition_pairwise,4,95.25,0.7014991583225911,0.06894494484758314,0.24775980707148662,0.027577844498903024,0.6176007468532259,0.07324104064584656,0.5773809523809523,0.02995966045742363,0.5833333333333333,0.06873217490352684,0.45999999999999996
SeparatePatch_TopK,separate_patch_logistic,12,main_effects_only,4,,0.7015317475961481,0.039270143130037155,0.25282168473241734,0.018080570289271347,0.5741079913038342,0.0882536422391515,0.5535714285714286,0.05952380952380953,0.5595238095238095,0.0687321749035269,0.5262499999999999
SeparatePatch_TopK,separate_patch_logistic,7,main_effects_only,4,,0.7056673554257697,0.040250083965770754,0.25511370046902854,0.01853556800963949,0.5541163125020867,0.0915376364826107,0.5297619047619048,0.06261799142087106,0.5119047619047619,0.059919320914847224,0.55875
SeparatePatch_TopK,separate_patch_logistic,5,pairwise_condition_interactions,4,,0.7127548855825262,0.06208056334008346,0.253703737561692,0.022899239850575435,0.5923864085811072,0.038137402737183065,0.5654761904761905,0.09398983557402389,0.5714285714285714,0.019440394783993432,0.5449999999999999
SeparatePatch_TopK,separate_patch_logistic,5,main_effects_only,4,,0.7139200098624181,0.060285345194614946,0.2577629926300359,0.025459132579526336,0.5594341585188267,0.08481449097183448,0.5535714285714286,0.06261799142087102,0.5595238095238095,0.05667800340113373,0.5049999999999999
SeparatePatch_TopK,separate_patch_logistic,3,main_effects_only,4,,0.7255267995864173,0.05957096881341364,0.26322330156319296,0.024388758981805217,0.5288878487391073,0.06799245304390474,0.5238095238095237,0.07009334020895118,0.5178571428571429,0.029959660457423657,0.5125
SeparatePatch_TopK,separate_patch_logistic,10,main_effects_only,4,,0.7278796553323005,0.087749629886862,0.26328794503521896,0.037161187279326,0.5581185937688607,0.10592104958360515,0.5595238095238095,0.04956347617776507,0.5535714285714286,0.04908459078116263,0.5175
PooledPatchAware_TopK,pooled_patch_interaction_logistic,3,patch_x_condition_plus_condition_pairwise,4,44.5,0.7474494990536094,0.13387814252272742,0.2572822941109111,0.027310121802392014,0.5924470839850322,0.06292636160502377,0.5654761904761905,0.052794185300198686,0.5773809523809523,0.0406625030395222,0.485
SeparatePatch_TopK,separate_patch_logistic,7,pairwise_condition_interactions,4,,0.7505604351515313,0.10733474068851281,0.2592655462670969,0.023585179052335297,0.5816688689591054,0.047924642554294516,0.5773809523809523,0.08557086767003107,0.6011904761904763,0.056259709836340585,0.49124999999999996
SeparatePatch_TopK,separate_patch_logistic,3,pairwise_condition_interactions,4,,0.7581847481407227,0.126670021229371,0.2715033153139851,0.04165600089364916,0.5340131867877864,0.062431260105455744,0.5238095238095238,0.08247860988423227,0.5357142857142857,0.023809523809523798,0.49999999999999994
SeparatePatch_TopK,separate_patch_logistic,10,pairwise_condition_interactions,4,,0.7790194344904868,0.23400504357401294,0.2439873799734433,0.020657584925596547,0.6230143412256303,0.0541530078229304,0.6071428571428572,0.030737963065138277,0.5952380952380952,0.07529232524210426,0.56875
