Player,Role,Team,Opponent Team,Opponent Player,Group,Date,Patch,No Game,Side,Time,Champion,Outcome,Level,Kills,Deaths,Assists,CS in Team's Jungle,CSM,GPM,GOLD%,VSPM,WPM,VWPM,WCPM,VS%,DPM,DMG%,KP%,GD@15,Total damage taken,First blood participate,MVP,KP%@15,Frist tower,Tower@15,Total tower,First Dragon,Number of dragon,Number of uti dragon,Number of VB,Herald,First baron,Number of baron,mini team fight,mini team fight win,mini team fight tie,team fight,team fight win,team fight tie,Team jg share
Yanxiang,JUNGLE,WE,EDG,Jiejie,Nirvana,08.07.2024,v14.13,1,Red,0:27:19,Zyra,Win,14,1,0,8,188,7.4,371,19.60%,1.48,0.33,0.29,0.33,18.10%,472,20.90%,90.00%,-791,11369.8,0,1,1,0,0,7,1,4,0,0,0,1,1,2,1,1,2,2,0,50
FoFo,MID,WE,EDG,Cryin,Nirvana,08.07.2024,v14.13,1,Red,0:27:19,Corki,Win,15,4,1,1,4,9,423,22.30%,1.04,0.4,0.11,0.18,12.70%,667,29.60%,50.00%,-516,13477.9,0,0,0.5,0,0,7,1,4,0,0,0,1,1,2,1,1,2,2,0,50
Able,ADCARRY,WE,EDG,Leave,Nirvana,08.07.2024,v14.13,1,Red,0:27:19,Kaisa,Win,16,5,0,2,4,10.8,487,25.70%,1.02,0.18,0.04,0.33,12.50%,522,23.10%,70.00%,39,6091.74,0,0,0.5,0,0,7,1,4,0,0,0,1,1,2,1,1,2,2,0,50
Mark,SUPPORT,WE,EDG,Wink,Nirvana,08.07.2024,v14.13,1,Red,0:27:19,Nautilus,Win,12,0,3,7,0,1.2,255,13.50%,3.45,1.87,0.51,0.48,42.20%,194,8.60%,70.00%,-74,12195.4,0,0,1,0,0,7,1,4,0,0,0,1,1,2,1,1,2,2,0,50
Wayward,TOP,WE,EDG,Solokill,Nirvana,08.07.2024,v14.13,2,Blue,0:29:46,Renekton,Win,16,0,2,3,0,9.1,373,19.70%,1.22,0.54,0.17,0.24,12.00%,299,18.20%,37.50%,1200,28721.1,0,0,0.333,1,0,8,0,3,0,3,1,0,0,0,0,0,2,2,0,48.3
Yanxiang,JUNGLE,WE,EDG,Jiejie,Nirvana,08.07.2024,v14.13,2,Blue,0:29:46,Brand,Win,15,2,0,5,189,6.6,351,18.50%,1.37,0.34,0.27,0.3,13.50%,444,27.00%,87.50%,-283,21238.1,0,0,1,1,0,8,0,3,0,3,1,0,0,0,0,0,2,2,0,48.3
FoFo,MID,WE,EDG,Cryin,Nirvana,08.07.2024,v14.13,2,Blue,0:29:46,Tristana,Win,16,2,0,3,17,10.4,481,25.40%,1.56,0.54,0.17,0.47,15.40%,375,22.80%,62.50%,1280,13645.3,0,0,0.667,1,0,8,0,3,0,3,1,0,0,0,0,0,2,2,0,48.3
Able,ADCARRY,WE,EDG,Leave,Nirvana,08.07.2024,v14.13,2,Blue,0:29:46,Zeri,Win,15,4,1,1,0,10.8,463,24.40%,1.57,0.2,0.1,0.84,15.40%,371,22.60%,62.50%,-160,14618.5,0,1,0.333,1,0,8,0,3,0,3,1,0,0,0,0,0,2,2,0,48.3
Mark,SUPPORT,WE,EDG,Wink,Nirvana,08.07.2024,v14.13,2,Blue,0:29:46,Maokai,Win,10,0,3,3,1,1.4,228,12.00%,4.43,2.49,0.54,0.6,43.70%,154,9.40%,37.50%,-151,17758.8,0,0,0.667,1,0,8,0,3,0,3,1,0,0,0,0,0,2,2,0,48.3
Solokill,TOP,EDG,WE,Wayward,Nirvana,08.07.2024,v14.13,2,Red,0:29:46,KSante,Loss,16,3,1,1,0,7.7,335,20.40%,0.87,0.4,0.17,0.13,9.90%,453,19.40%,66.70%,-1200,17565.1,0,0,0.333,0,0,2,1,1,0,3,0,0,0,0,0,0,2,0,0,51.7
Jiejie,JUNGLE,EDG,WE,Yanxiang,Nirvana,08.07.2024,v14.13,2,Red,0:29:46,Zyra,Loss,15,1,3,4,203,8,344,21.00%,1.73,0.24,0.17,0.71,19.70%,730,31.20%,83.30%,283,15425.8,0,0,0.667,0,0,2,1,1,0,3,0,0,0,0,0,0,2,0,0,51.7
Cryin,MID,EDG,WE,FoFo,Nirvana,08.07.2024,v14.13,2,Red,0:29:46,Corki,Loss,15,1,1,4,5,8.5,348,21.10%,1.02,0.44,0.2,0.37,11.60%,479,20.50%,83.30%,-1280,11313.6,0,0,0.667,0,0,2,1,1,0,3,0,0,0,0,0,0,2,0,0,51.7
Leave,ADCARRY,EDG,WE,Able,Nirvana,08.07.2024,v14.13,2,Red,0:29:46,Kaisa,Loss,15,0,1,4,14,11,395,24.00%,1.28,0.44,0.17,0.47,14.60%,543,23.20%,66.70%,160,11209.1,1,0,1,0,0,2,1,1,0,3,0,0,0,0,0,0,2,0,0,51.7
Wink,SUPPORT,EDG,WE,Mark,Nirvana,08.07.2024,v14.13,2,Red,0:29:46,Rakan,Loss,10,1,2,5,0,0.8,221,13.50%,3.88,2.72,0.47,0.44,44.20%,134,5.70%,100.00%,151,12236.2,1,0,1,0,0,2,1,1,0,3,0,0,0,0,0,0,2,0,0,51.7
Burbol,TOP,LGD,AL,Ale,Ascend,08.07.2024,v14.13,1,Blue,0:28:09,Gnar,Loss,15,1,5,3,0,7.9,356,21.60%,0.82,0.32,0.14,0.32,11.30%,594,26.60%,66.70%,-1948,20018.3,0,0,0.667,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,40.2
Meteor,JUNGLE,LGD,AL,Croco,Ascend,08.07.2024,v14.13,1,Blue,0:28:09,Zyra,Loss,13,3,4,2,157,6.3,323,19.60%,1.49,0.36,0.28,0.5,20.40%,555,24.80%,83.30%,-675,16738.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,40.2
Haichao,MID,LGD,AL,Shanks,Ascend,08.07.2024,v14.13,1,Blue,0:28:09,Corki,Loss,16,1,0,2,0,10.7,398,24.10%,0.79,0.46,0.11,0.18,10.80%,696,31.10%,50.00%,-487,14890.5,0,0,0.333,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,40.2
Shaoye,ADCARRY,LGD,AL,Hope,Ascend,08.07.2024,v14.13,1,Blue,0:28:09,Zeri,Loss,13,1,7,0,0,8.7,369,22.40%,1.53,0.53,0.21,0.53,20.90%,294,13.10%,16.70%,-1897,14269.8,0,0,0.333,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,40.2
jinjiao,SUPPORT,LGD,AL,Kael,Ascend,08.07.2024,v14.13,1,Blue,0:28:09,Alistar,Loss,9,0,6,2,0,0.9,203,12.30%,2.67,1.63,0.46,0.28,36.60%,98,4.40%,33.30%,-1040,23199.2,0,0,0.667,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,40.2
Ale,TOP,AL,LGD,Burbol,Ascend,08.07.2024,v14.13,1,Red,0:28:09,Renekton,Win,17,5,2,2,16,9.8,501,22.70%,0.8,0.36,0.14,0.11,6.90%,499,18.20%,31.80%,1948,24723.4,1,0,0.333,1,2,10,1,3,0,6,1,1,1,0,0,0,5,5,0,59.8
Croco,JUNGLE,AL,LGD,Meteor,Ascend,08.07.2024,v14.13,1,Red,0:28:09,Brand,Win,16,4,0,14,198,7.6,436,19.70%,2.02,0.67,0.21,0.32,17.40%,818,29.80%,81.80%,675,23999.8,0,0,0.667,1,2,10,1,3,0,6,1,1,1,0,0,0,5,5,0,59.8
Shanks,MID,AL,LGD,Haichao,Ascend,08.07.2024,v14.13,1,Red,0:28:09,Yone,Win,17,5,0,3,16,10.3,439,19.90%,1.4,0.25,0.18,0.39,12.00%,465,16.90%,36.40%,487,19446.3,0,0,0.111,1,2,10,1,3,0,6,1,1,1,0,0,0,5,5,0,59.8
Hope,ADCARRY,AL,LGD,Shaoye,Ascend,08.07.2024,v14.13,1,Red,0:28:09,Miss_Fortune,Win,16,7,2,6,4,10.5,532,24.10%,1.4,0.43,0.14,0.43,12.00%,712,25.90%,59.10%,1897,12991.2,0,0,0.556,1,2,10,1,3,0,6,1,1,1,0,0,0,5,5,0,59.8
Kael,SUPPORT,AL,LGD,jinjiao,Ascend,08.07.2024,v14.13,1,Red,0:28:09,Bard,Win,12,1,2,15,0,1,303,13.70%,6.02,3.2,0.71,0.85,51.70%,254,9.20%,72.70%,1040,17961,0,1,0.667,1,2,10,1,3,0,6,1,1,1,0,0,0,5,5,0,59.8
Ale,TOP,AL,LGD,Burbol,Ascend,08.07.2024,v14.13,2,Blue,0:28:36,Renekton,Win,17,6,2,2,3,9.4,523,26.00%,0.79,0.24,0.1,0.21,9.10%,466,20.80%,61.50%,2255,20198.9,1,0,1,1,3,8,0,2,0,3,1,1,1,0,0,0,3,2,0,52.1
Croco,JUNGLE,AL,LGD,Meteor,Ascend,08.07.2024,v14.13,2,Blue,0:28:36,Brand,Win,15,2,1,7,203,7.8,387,19.20%,1.49,0.63,0.28,0.28,17.20%,454,20.30%,69.20%,-410,23055.5,1,1,0.5,1,3,8,0,2,0,3,1,1,1,0,0,0,3,2,0,52.1
Shanks,MID,AL,LGD,Haichao,Ascend,08.07.2024,v14.13,2,Blue,0:28:36,Lucian,Win,16,1,2,6,8,9.6,406,20.20%,1.32,0.31,0.07,0.49,15.20%,578,25.80%,53.80%,-48,14875.4,0,0,0,1,3,8,0,2,0,3,1,1,1,0,0,0,3,2,0,52.1
Hope,ADCARRY,AL,LGD,Shaoye,Ascend,08.07.2024,v14.13,2,Blue,0:28:36,Miss_Fortune,Win,15,4,1,6,0,9.7,451,22.40%,1.5,0.56,0.21,0.49,17.30%,546,24.40%,76.90%,342,7302.29,0,0,0,1,3,8,0,2,0,3,1,1,1,0,0,0,3,2,0,52.1
Kael,SUPPORT,AL,LGD,jinjiao,Ascend,08.07.2024,v14.13,2,Blue,0:28:36,Braum,Win,11,0,2,9,0,1.2,246,12.20%,3.57,1.71,0.59,0.49,41.20%,195,8.70%,69.20%,188,15823.4,0,0,0,1,3,8,0,2,0,3,1,1,1,0,0,0,3,2,0,52.1
Burbol,TOP,LGD,AL,Ale,Ascend,08.07.2024,v14.13,2,Red,0:28:36,Poppy,Loss,15,2,3,5,0,7.2,351,18.60%,1.13,0.38,0.21,0.17,12.50%,401,22.40%,87.50%,-2255,21041.6,0,0,0.5,0,1,4,1,2,0,3,0,0,1,0,0,0,3,1,0,47.9
Meteor,JUNGLE,LGD,AL,Croco,Ascend,08.07.2024,v14.13,2,Red,0:28:36,Zyra,Loss,15,2,3,6,193,7.5,377,19.90%,1.78,0.24,0.14,0.59,19.60%,608,33.90%,100.00%,410,17435.8,0,0,1,0,1,4,1,2,0,3,0,0,1,0,0,0,3,1,0,47.9
Haichao,MID,LGD,AL,Shanks,Ascend,08.07.2024,v14.13,2,Red,0:28:36,Yone,Loss,16,1,2,5,2,10.2,458,24.20%,1.09,0.28,0.1,0.31,12.10%,247,13.80%,75.00%,48,21086.3,0,0,0.5,0,1,4,1,2,0,3,0,0,1,0,0,0,3,1,0,47.9
Shaoye,ADCARRY,LGD,AL,Hope,Ascend,08.07.2024,v14.13,2,Red,0:28:36,Draven,Loss,14,3,1,2,2,8.8,462,24.50%,0.97,0.45,0.14,0.1,10.70%,265,14.80%,62.50%,-342,9861.29,0,0,0,0,1,4,1,2,0,3,0,0,1,0,0,0,3,1,0,47.9
jinjiao,SUPPORT,LGD,AL,Kael,Ascend,08.07.2024,v14.13,2,Red,0:28:36,Renata_Glasc,Loss,11,0,4,6,0,1.2,242,12.80%,4.09,2.24,0.49,0.7,45.10%,271,15.10%,75.00%,-188,18217.4,0,0,0.5,0,1,4,1,2,0,3,0,0,1,0,0,0,3,1,0,47.9
Hery,TOP,OMG,RNG,Juice,Nirvana,09.07.2024,v14.13,1,Blue,0:26:20,KSante,Win,15,4,3,8,0,7,379,18.30%,0.76,0.3,0.15,0.08,8.50%,717,21.10%,66.70%,624,25711.7,1,0,0.5,1,0,9,1,4,0,4,1,1,1,1,0,0,5,5,0,59.4
Tianzhen,JUNGLE,OMG,RNG,Geju,Nirvana,09.07.2024,v14.13,1,Blue,0:26:20,Rengar,Win,15,4,3,9,173,7.2,422,20.30%,1.69,0.42,0.34,0.34,18.90%,339,10.00%,72.20%,1475,41560.8,0,1,0.875,1,0,9,1,4,0,4,1,1,1,1,0,0,5,5,0,59.4
Angel,MID,OMG,RNG,Tangyuan,Nirvana,09.07.2024,v14.13,1,Blue,0:26:20,LeBlanc,Win,15,6,0,9,4,8.8,507,24.40%,1.81,0.76,0.23,0.38,20.30%,859,25.30%,83.30%,310,9392.5,0,0,0.875,1,0,9,1,4,0,4,1,1,1,1,0,0,5,5,0,59.4
Starry,ADCARRY,OMG,RNG,huanfeng,Nirvana,09.07.2024,v14.13,1,Blue,0:26:20,Ezreal,Win,15,3,0,10,6,11.2,480,23.10%,0.81,0.38,0.11,0.27,9.10%,1175,34.60%,72.20%,863,11316,0,0,0.625,1,0,9,1,4,0,4,1,1,1,1,0,0,5,5,0,59.4
Ppgod,SUPPORT,OMG,RNG,Iwandy,Nirvana,09.07.2024,v14.13,1,Blue,0:26:20,Leona,Win,11,1,2,14,0,1.3,287,13.80%,3.86,1.86,0.61,0.68,43.20%,311,9.10%,83.30%,-12,17339.7,0,0,0.875,1,0,9,1,4,0,4,1,1,1,1,0,0,5,5,0,59.4
Juice,TOP,RNG,OMG,Hery,Nirvana,09.07.2024,v14.13,1,Red,0:26:20,Renekton,Loss,13,1,7,3,1,6.5,309,18.20%,1.13,0.34,0.23,0.27,14.60%,442,16.80%,50.00%,-624,27261.8,0,0,0.25,0,0,3,0,0,0,2,0,0,0,1,1,0,5,0,0,40.6
Geju,JUNGLE,RNG,OMG,Tianzhen,Nirvana,09.07.2024,v14.13,1,Red,0:26:20,Sejuani,Loss,12,2,5,4,112,5.1,316,18.60%,1.12,0.19,0.19,0.42,14.50%,419,15.90%,75.00%,-1475,28217.2,0,0,0.5,0,0,3,0,0,0,2,0,0,0,1,1,0,5,0,0,40.6
Tangyuan,MID,RNG,OMG,Angel,Nirvana,09.07.2024,v14.13,1,Red,0:26:20,Corki,Loss,15,4,4,3,2,9.9,464,27.40%,0.98,0.38,0.08,0.34,12.60%,882,33.50%,87.50%,-310,15398.3,0,0,0.75,0,0,3,0,0,0,2,0,0,0,1,1,0,5,0,0,40.6
huanfeng,ADCARRY,RNG,OMG,Starry,Nirvana,09.07.2024,v14.13,1,Red,0:26:20,Zeri,Loss,13,0,0,4,10,9.7,369,21.70%,1.48,0.46,0.11,0.53,19.10%,567,21.50%,50.00%,-863,12631.9,0,0,0.25,0,0,3,0,0,0,2,0,0,0,1,1,0,5,0,0,40.6
Iwandy,SUPPORT,RNG,OMG,Ppgod,Nirvana,09.07.2024,v14.13,1,Red,0:26:20,Braum,Loss,11,1,2,6,0,0.5,239,14.10%,3.04,2.13,0.49,0.23,39.30%,323,12.30%,87.50%,12,28577.2,0,0,0.75,0,0,3,0,0,0,2,0,0,0,1,1,0,5,0,0,40.6
Juice,TOP,RNG,OMG,Hery,Nirvana,09.07.2024,v14.13,2,Blue,0:30:46,Renekton,Loss,15,3,2,1,2,7.1,354,19.40%,1.34,0.39,0.23,0.46,14.90%,218,10.10%,40.00%,387,31201,0,0,0.333,1,1,5,0,2,0,4,1,0,0,0,0,0,2,1,0,51.5
Geju,JUNGLE,RNG,OMG,Tianzhen,Nirvana,09.07.2024,v14.13,2,Blue,0:30:46,Lillia,Loss,15,3,4,4,208,7.8,367,20.10%,1.48,0.23,0.16,0.42,16.50%,638,29.60%,70.00%,426,34494.3,0,0,0.333,1,1,5,0,2,0,4,1,0,0,0,0,0,2,1,0,51.5
Tangyuan,MID,RNG,OMG,Angel,Nirvana,09.07.2024,v14.13,2,Blue,0:30:46,Corki,Loss,16,4,1,4,6,10.1,496,27.10%,1.52,0.52,0.16,0.59,17.00%,585,27.20%,80.00%,342,11725.4,0,0,0.667,1,1,5,0,2,0,4,1,0,0,0,0,0,2,1,0,51.5
huanfeng,ADCARRY,RNG,OMG,Starry,Nirvana,09.07.2024,v14.13,2,Blue,0:30:46,Ziggs,Loss,15,0,4,7,4,9.4,372,20.40%,1.13,0.46,0.13,0.33,12.60%,586,27.20%,70.00%,-820,12440.7,0,0,0.667,1,1,5,0,2,0,4,1,0,0,0,0,0,2,1,0,51.5
Iwandy,SUPPORT,RNG,OMG,Ppgod,Nirvana,09.07.2024,v14.13,2,Blue,0:30:46,Nautilus,Loss,12,0,3,8,2,1.1,238,13.00%,3.5,2.15,0.59,0.29,39.00%,125,5.80%,80.00%,141,16174.2,0,0,0.667,1,1,5,0,2,0,4,1,0,0,0,0,0,2,1,0,51.5
Hery,TOP,OMG,RNG,Juice,Nirvana,09.07.2024,v14.13,2,Red,0:30:46,Kennen,Win,16,4,3,3,8,8.8,410,20.50%,0.82,0.29,0.16,0.16,8.20%,682,27.70%,50.00%,-387,13229.4,0,0,0.667,0,1,8,1,2,0,2,0,1,1,0,0,0,2,1,0,48.5
Tianzhen,JUNGLE,OMG,RNG,Geju,Nirvana,09.07.2024,v14.13,2,Red,0:30:46,Sejuani,Win,15,4,2,9,151,5.8,352,17.70%,2.69,1.24,0.42,0.46,26.90%,404,16.40%,92.90%,-426,33612.1,1,1,0.667,0,1,8,1,2,0,2,0,1,1,0,0,0,2,1,0,48.5
Angel,MID,OMG,RNG,Tangyuan,Nirvana,09.07.2024,v14.13,2,Red,0:30:46,Lucian,Win,17,4,0,3,30,10.4,515,25.80%,1.63,0.46,0.1,0.52,16.30%,591,24.00%,50.00%,-342,12401,1,0,0.333,0,1,8,1,2,0,2,0,1,1,0,0,0,2,1,0,48.5
Starry,ADCARRY,OMG,RNG,huanfeng,Nirvana,09.07.2024,v14.13,2,Red,0:30:46,Sivir,Win,17,2,1,10,20,11.1,468,23.50%,1.3,0.42,0.2,0.36,13.00%,516,21.00%,85.70%,820,13687.2,1,0,1,0,1,8,1,2,0,2,0,1,1,0,0,0,2,1,0,48.5
Ppgod,SUPPORT,OMG,RNG,Iwandy,Nirvana,09.07.2024,v14.13,2,Red,0:30:46,Leona,Win,13,0,4,9,0,1.1,250,12.50%,3.55,1.79,0.59,0.55,35.50%,268,10.90%,64.30%,-141,25395.8,1,0,0.667,0,1,8,1,2,0,2,0,1,1,0,0,0,2,1,0,48.5
sheer,TOP,JDG,FPX,Zdz,Ascend,09.07.2024,v14.13,1,Blue,0:28:41,Rumble,Win,16,1,2,2,8,9.3,432,19.80%,1.05,0.31,0.17,0.1,11.70%,566,23.10%,16.70%,1911,12807.5,0,0,0,1,0,9,1,3,0,6,1,0,0,2,2,0,2,2,0,62.5
Kanavi,JUNGLE,JDG,FPX,milkyway,Ascend,09.07.2024,v14.13,1,Blue,0:28:41,Lee_Sin,Win,16,8,3,7,237,8.5,464,21.30%,1.5,0.49,0.17,0.17,16.60%,508,20.70%,83.30%,615,28679.3,0,1,0.75,1,0,9,1,3,0,6,1,0,0,2,2,0,2,2,0,62.5
Yagao,MID,JDG,FPX,Care,Ascend,09.07.2024,v14.13,1,Blue,0:28:41,Corki,Win,16,5,1,8,14,10,495,22.70%,1.08,0.45,0.1,0.35,12.00%,782,32.00%,72.20%,1215,13992.3,0,0,0.75,1,0,9,1,3,0,6,1,0,0,2,2,0,2,2,0,62.5
Ruler,ADCARRY,JDG,FPX,deokdam,Ascend,09.07.2024,v14.13,1,Blue,0:28:41,Zeri,Win,17,1,1,6,16,12.6,492,22.60%,1.81,0.42,0.14,0.66,20.00%,504,20.60%,38.90%,734,14508.6,0,0,0.25,1,0,9,1,3,0,6,1,0,0,2,2,0,2,2,0,62.5
Missing,SUPPORT,JDG,FPX,Life,Ascend,09.07.2024,v14.13,1,Blue,0:28:41,Rell,Win,12,3,3,12,0,1,293,13.50%,3.58,2.2,0.63,0.28,39.70%,87,3.60%,83.30%,-577,10413.5,0,0,0.625,1,0,9,1,3,0,6,1,0,0,2,2,0,2,2,0,62.5
Zdz,TOP,FPX,JDG,sheer,Ascend,09.07.2024,v14.13,1,Red,0:28:41,KSante,Loss,15,0,2,2,1,7.7,314,17.70%,1.15,0.38,0.24,0.17,12.10%,93,4.90%,20.00%,-1911,18074.1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,0,37.5
milkyway,JUNGLE,FPX,JDG,Kanavi,Ascend,09.07.2024,v14.13,1,Red,0:28:41,Taliyah,Loss,13,2,4,8,156,5.9,360,20.30%,1.34,0.24,0.17,0.28,14.00%,484,25.80%,100.00%,-615,17120.7,1,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,0,37.5
Care,MID,FPX,JDG,Yagao,Ascend,09.07.2024,v14.13,1,Red,0:28:41,Tristana,Loss,16,4,3,2,4,10,447,25.30%,1.73,0.56,0.21,0.42,18.20%,519,27.60%,60.00%,-1215,18422,0,0,0.6,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,0,37.5
deokdam,ADCARRY,FPX,JDG,Ruler,Ascend,09.07.2024,v14.13,1,Red,0:28:41,Ezreal,Loss,15,1,3,3,4,9.8,385,21.70%,0.87,0.21,0.03,0.28,9.20%,570,30.40%,40.00%,-734,14730.5,0,0,0.2,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,0,37.5
Life,SUPPORT,FPX,JDG,Missing,Ascend,09.07.2024,v14.13,1,Red,0:28:41,Nautilus,Loss,10,3,6,6,0,1.1,265,14.90%,4.44,2.13,0.73,0.63,46.50%,212,11.30%,90.00%,577,17882.1,1,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,0,37.5
Zdz,TOP,FPX,JDG,sheer,Ascend,09.07.2024,v14.13,2,Blue,0:30:24,Renekton,Win,17,3,3,3,0,8.6,428,21.10%,1.31,0.33,0.23,0.36,12.60%,606,19.70%,42.90%,713,32511.4,0,0,0.25,1,1,11,0,2,0,6,1,1,1,2,2,0,2,1,0,61.3
milkyway,JUNGLE,FPX,JDG,Kanavi,Ascend,09.07.2024,v14.13,2,Blue,0:30:24,Karthus,Win,17,2,0,8,267,9.4,439,21.60%,1.41,0.26,0.2,0.36,13.60%,720,23.50%,71.40%,622,27184.6,1,0,0.75,1,1,11,0,2,0,6,1,1,1,2,2,0,2,1,0,61.3
Care,MID,FPX,JDG,Yagao,Ascend,09.07.2024,v14.13,2,Blue,0:30:24,Corki,Win,17,6,1,6,8,9.3,507,25.00%,1.56,0.59,0.26,0.66,15.00%,1061,34.60%,85.70%,2042,13084.9,1,0,0.875,1,1,11,0,2,0,6,1,1,1,2,2,0,2,1,0,61.3
deokdam,ADCARRY,FPX,JDG,Ruler,Ascend,09.07.2024,v14.13,2,Blue,0:30:24,Kaisa,Win,15,2,2,3,4,8.3,400,19.70%,0.8,0.33,0.1,0.33,7.70%,515,16.80%,35.70%,259,10624.8,0,0,0.25,1,1,11,0,2,0,6,1,1,1,2,2,0,2,1,0,61.3
Life,SUPPORT,FPX,JDG,Missing,Ascend,09.07.2024,v14.13,2,Blue,0:30:24,Pyke,Win,10,1,2,5,0,1.4,256,12.60%,5.31,3.29,0.59,0.76,51.10%,168,5.50%,42.90%,15,9936.41,0,1,0.375,1,1,11,0,2,0,6,1,1,1,2,2,0,2,1,0,61.3
sheer,TOP,JDG,FPX,Zdz,Ascend,09.07.2024,v14.13,2,Red,0:30:24,KSante,Loss,15,2,2,4,0,7.3,343,19.90%,1.07,0.3,0.2,0.26,10.50%,479,26.50%,75.00%,-713,29814.8,0,0,0.5,0,0,2,1,2,0,0,0,0,0,2,0,0,2,1,0,38.7
Kanavi,JUNGLE,JDG,FPX,milkyway,Ascend,09.07.2024,v14.13,2,Red,0:30:24,Brand,Loss,14,2,3,3,156,6.9,347,20.10%,2.42,0.95,0.2,0.82,23.80%,602,33.30%,62.50%,-622,28675.9,0,0,0.75,0,0,2,1,2,0,0,0,0,0,2,0,0,2,1,0,38.7
Yagao,MID,JDG,FPX,Care,Ascend,09.07.2024,v14.13,2,Red,0:30:24,Tristana,Loss,16,3,3,1,8,9.1,415,24.00%,1.17,0.43,0.1,0.36,11.50%,325,18.00%,50.00%,-2042,21557.9,0,0,0.25,0,0,2,1,2,0,0,0,0,0,2,0,0,2,1,0,38.7
Ruler,ADCARRY,JDG,FPX,deokdam,Ascend,09.07.2024,v14.13,2,Red,0:30:24,Kalista,Loss,15,1,1,2,12,10.5,406,23.50%,2.64,1.28,0.39,0.76,25.90%,251,13.90%,37.50%,-259,17745.6,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,2,1,0,38.7
Missing,SUPPORT,JDG,FPX,Life,Ascend,09.07.2024,v14.13,2,Red,0:30:24,Alistar,Loss,11,0,5,5,0,1,215,12.40%,2.88,1.91,0.49,0.23,28.30%,149,8.30%,62.50%,-15,19416.6,0,0,0.5,0,0,2,1,2,0,0,0,0,0,2,0,0,2,1,0,38.7
sheer,TOP,JDG,FPX,Zdz,Ascend,09.07.2024,v14.13,3,Blue,0:32:41,KSante,Win,16,3,3,9,3,7,358,17.70%,0.95,0.24,0.15,0.21,10.40%,468,15.00%,66.70%,59,36797.6,0,0,0.833,0,0,10,0,3,0,3,0,0,0,0,0,0,5,3,1,59.6
Kanavi,JUNGLE,JDG,FPX,milkyway,Ascend,09.07.2024,v14.13,3,Blue,0:32:41,Karthus,Win,18,5,1,11,239,8.7,474,23.40%,1.43,0.12,0.09,0.4,15.80%,1074,34.50%,88.90%,1546,27137.5,0,0,0.833,0,0,10,0,3,0,3,0,0,0,0,0,0,5,3,1,59.6
Yagao,MID,JDG,FPX,Care,Ascend,09.07.2024,v14.13,3,Blue,0:32:41,Tristana,Win,17,5,0,6,19,9,496,24.50%,1.72,0.55,0.21,0.46,18.90%,676,21.70%,61.10%,120,17212.6,0,0,0.333,0,0,10,0,3,0,3,0,0,0,0,0,0,5,3,1,59.6
Ruler,ADCARRY,JDG,FPX,deokdam,Ascend,09.07.2024,v14.13,3,Blue,0:32:41,Jhin,Win,17,4,2,10,8,9.2,430,21.30%,1.15,0.34,0.06,0.31,12.70%,755,24.20%,77.80%,420,17378.9,0,0,0.5,0,0,10,0,3,0,3,0,0,0,0,0,0,5,3,1,59.6
Missing,SUPPORT,JDG,FPX,Life,Ascend,09.07.2024,v14.13,3,Blue,0:32:41,Rell,Win,13,1,4,15,0,0.9,264,13.10%,3.82,2.02,0.58,0.52,42.20%,141,4.50%,88.90%,176,23552.2,0,1,0.833,0,0,10,0,3,0,3,0,0,0,0,0,0,5,3,1,59.6
Zdz,TOP,FPX,JDG,sheer,Ascend,09.07.2024,v14.13,3,Red,0:32:41,Poppy,Loss,16,0,3,4,1,6.9,335,18.70%,0.99,0.43,0.24,0.12,12.20%,410,15.50%,40.00%,-59,24763.3,0,0,0,1,0,4,1,2,0,3,1,1,1,0,0,0,5,1,1,40.4
milkyway,JUNGLE,FPX,JDG,Kanavi,Ascend,09.07.2024,v14.13,3,Red,0:32:41,Zyra,Loss,15,1,4,7,166,6.2,342,19.10%,1.68,0.31,0.24,0.43,20.70%,523,19.80%,80.00%,-1546,22020.8,1,0,1,1,0,4,1,2,0,3,1,1,1,0,0,0,5,1,1,40.4
Care,MID,FPX,JDG,Yagao,Ascend,09.07.2024,v14.13,3,Red,0:32:41,Corki,Loss,17,7,4,0,7,9.4,485,27.10%,1.36,0.52,0.18,0.37,16.70%,818,30.90%,70.00%,-120,26721.5,0,0,0.667,1,0,4,1,2,0,3,1,1,1,0,0,0,5,1,1,40.4
deokdam,ADCARRY,FPX,JDG,Ruler,Ascend,09.07.2024,v14.13,3,Red,0:32:41,Ezreal,Loss,16,2,3,5,8,9.1,388,21.70%,0.69,0.21,0,0.28,8.50%,729,27.50%,70.00%,-420,24560.5,1,0,1,1,0,4,1,2,0,3,1,1,1,0,0,0,5,1,1,40.4
